   Selected parameters are:
1 Height, km
2 O, cm-3 
3 N2, cm-3
4 O2, cm-3
5 Temperature_neutral, K
6 Temperature_exospheric, K

      1          2          3          4      5     6
  369.0  1.656E+08  2.237E+07  9.389E+05 1028.4  1031
  370.0  1.629E+08  2.173E+07  9.085E+05 1028.5  1031
  371.0  1.602E+08  2.112E+07  8.791E+05 1028.5  1031
  372.0  1.576E+08  2.052E+07  8.507E+05 1028.6  1031
  373.0  1.550E+08  1.994E+07  8.232E+05 1028.6  1031
  374.0  1.525E+08  1.937E+07  7.966E+05 1028.7  1031
  375.0  1.500E+08  1.882E+07  7.708E+05 1028.7  1031
  376.0  1.475E+08  1.829E+07  7.459E+05 1028.7  1031
  377.0  1.451E+08  1.777E+07  7.219E+05 1028.8  1031
  378.0  1.427E+08  1.727E+07  6.986E+05 1028.8  1031
  379.0  1.404E+08  1.678E+07  6.760E+05 1028.9  1031
  380.0  1.381E+08  1.631E+07  6.542E+05 1028.9  1031
  381.0  1.358E+08  1.585E+07  6.331E+05 1028.9  1031
  382.0  1.336E+08  1.540E+07  6.127E+05 1029.0  1031
  383.0  1.314E+08  1.496E+07  5.930E+05 1029.0  1031
  384.0  1.293E+08  1.454E+07  5.739E+05 1029.0  1031
  385.0  1.272E+08  1.413E+07  5.554E+05 1029.1  1031
  386.0  1.251E+08  1.373E+07  5.376E+05 1029.1  1031
  387.0  1.231E+08  1.334E+07  5.203E+05 1029.1  1031
  388.0  1.211E+08  1.297E+07  5.035E+05 1029.2  1031
  389.0  1.191E+08  1.260E+07  4.874E+05 1029.2  1031
  390.0  1.172E+08  1.225E+07  4.717E+05 1029.2  1031
  391.0  1.153E+08  1.190E+07  4.565E+05 1029.3  1031
  392.0  1.134E+08  1.157E+07  4.419E+05 1029.3  1031
  393.0  1.116E+08  1.124E+07  4.277E+05 1029.3  1031
  394.0  1.098E+08  1.093E+07  4.140E+05 1029.3  1031
  395.0  1.080E+08  1.062E+07  4.007E+05 1029.4  1031
  396.0  1.062E+08  1.032E+07  3.878E+05 1029.4  1031
  397.0  1.045E+08  1.003E+07  3.754E+05 1029.4  1031
  398.0  1.028E+08  9.747E+06  3.634E+05 1029.4  1031
  399.0  1.011E+08  9.474E+06  3.517E+05 1029.5  1031
  400.0  9.950E+07  9.208E+06  3.405E+05 1029.5  1031
  401.0  9.769E+07  8.949E+06  3.296E+05 1029.5  1031
  402.0  9.611E+07  8.698E+06  3.190E+05 1029.5  1031
  403.0  9.456E+07  8.454E+06  3.088E+05 1029.6  1031
  404.0  9.303E+07  8.217E+06  2.989E+05 1029.6  1031
  405.0  9.153E+07  7.986E+06  2.894E+05 1029.6  1031
  406.0  9.006E+07  7.763E+06  2.801E+05 1029.6  1031
  407.0  8.861E+07  7.545E+06  2.712E+05 1029.6  1031
  408.0  8.718E+07  7.334E+06  2.625E+05 1029.7  1031
  409.0  8.577E+07  7.128E+06  2.541E+05 1029.7  1031
  410.0  8.439E+07  6.929E+06  2.460E+05 1029.7  1031
  411.0  8.304E+07  6.735E+06  2.382E+05 1029.7  1031
  412.0  8.170E+07  6.547E+06  2.306E+05 1029.7  1031
  413.0  8.039E+07  6.363E+06  2.232E+05 1029.8  1031
  414.0  7.909E+07  6.186E+06  2.161E+05 1029.8  1031
  415.0  7.782E+07  6.013E+06  2.092E+05 1029.8  1031
  416.0  7.657E+07  5.845E+06  2.025E+05 1029.8  1031
  417.0  7.534E+07  5.682E+06  1.961E+05 1029.8  1031
  418.0  7.413E+07  5.523E+06  1.898E+05 1029.8  1031
  419.0  7.294E+07  5.369E+06  1.838E+05 1029.9  1031
  420.0  7.177E+07  5.219E+06  1.780E+05 1029.9  1031
  421.0  7.062E+07  5.073E+06  1.723E+05 1029.9  1031
  422.0  6.949E+07  4.932E+06  1.668E+05 1029.9  1031
  423.0  6.837E+07  4.794E+06  1.615E+05 1029.9  1031
  424.0  6.728E+07  4.661E+06  1.564E+05 1029.9  1031
  425.0  6.620E+07  4.531E+06  1.514E+05 1030.0  1031
  426.0  6.514E+07  4.405E+06  1.466E+05 1030.0  1031
  427.0  6.410E+07  4.282E+06  1.419E+05 1030.0  1031
  428.0  6.307E+07  4.163E+06  1.374E+05 1030.0  1031
  429.0  6.206E+07  4.047E+06  1.331E+05 1030.0  1031
  430.0  6.107E+07  3.935E+06  1.289E+05 1030.0  1031
  431.0  6.009E+07  3.825E+06  1.248E+05 1030.0  1031
  432.0  5.913E+07  3.719E+06  1.208E+05 1030.0  1031
  433.0  5.819E+07  3.615E+06  1.170E+05 1030.1  1031
  434.0  5.726E+07  3.515E+06  1.133E+05 1030.1  1031
  435.0  5.634E+07  3.417E+06  1.097E+05 1030.1  1031
  436.0  5.544E+07  3.323E+06  1.062E+05 1030.1  1031
  437.0  5.456E+07  3.230E+06  1.029E+05 1030.1  1031
  438.0  5.369E+07  3.141E+06  9.960E+04 1030.1  1031
  439.0  5.283E+07  3.054E+06  9.645E+04 1030.1  1031
  440.0  5.199E+07  2.969E+06  9.340E+04 1030.1  1031
  441.0  5.116E+07  2.887E+06  9.045E+04 1030.1  1031
  442.0  5.034E+07  2.807E+06  8.759E+04 1030.2  1031
  443.0  4.954E+07  2.729E+06  8.482E+04 1030.2  1031
  444.0  4.875E+07  2.653E+06  8.214E+04 1030.2  1031
  445.0  4.798E+07  2.580E+06  7.955E+04 1030.2  1031
  446.0  4.721E+07  2.508E+06  7.704E+04 1030.2  1031
  447.0  4.646E+07  2.439E+06  7.461E+04 1030.2  1031
  448.0  4.572E+07  2.372E+06  7.225E+04 1030.2  1031
  449.0  4.500E+07  2.306E+06  6.997E+04 1030.2  1031
