   Selected parameters are:
1 Height, km
2 Electron_density_Ne, m-3
3 Tn, K
4 Ti, K
5 Te, K

       1            2      3      4      5
  479.00  0.94902E+11 1150.4 1458.7 1749.7
  480.00  0.94311E+11 1150.4 1458.8 1751.6
  481.00  0.93724E+11 1150.4 1458.9 1753.4
  482.00  0.93139E+11 1150.4 1459.0 1755.3
  483.00  0.92558E+11 1150.4 1459.2 1757.2
  484.00  0.91981E+11 1150.4 1459.3 1759.1
  485.00  0.91406E+11 1150.5 1459.4 1761.0
  486.00  0.90835E+11 1150.5 1459.5 1762.8
  487.00  0.90267E+11 1150.5 1459.6 1764.7
  488.00  0.89703E+11 1150.5 1459.7 1766.6
  489.00  0.89142E+11 1150.5 1459.8 1768.5
  490.00  0.88584E+11 1150.5 1459.9 1770.4
  491.00  0.88030E+11 1150.5 1460.0 1772.3
  492.00  0.87479E+11 1150.5 1460.1 1774.1
  493.00  0.86931E+11 1150.5 1460.2 1776.0
  494.00  0.86386E+11 1150.5 1460.3 1777.9
  495.00  0.85845E+11 1150.5 1460.4 1779.8
  496.00  0.85308E+11 1150.5 1460.5 1781.7
  497.00  0.84773E+11 1150.5 1460.6 1783.6
  498.00  0.84242E+11 1150.5 1460.7 1785.5
  499.00  0.83714E+11 1150.5 1460.8 1787.3
  500.00  0.83190E+11 1150.5 1460.9 1789.2
  501.00  0.82669E+11 1150.5 1461.0 1791.1
  502.00  0.82151E+11 1150.5 1461.1 1793.0
  503.00  0.81636E+11 1150.5 1461.2 1794.9
  504.00  0.81125E+11 1150.5 1461.3 1796.8
  505.00  0.80617E+11 1150.5 1461.4 1798.7
  506.00  0.80112E+11 1150.5 1461.5 1800.6
  507.00  0.79611E+11 1150.5 1461.6 1802.5
  508.00  0.79112E+11 1150.5 1461.7 1804.4
  509.00  0.78617E+11 1150.6 1461.8 1806.3
  510.00  0.78126E+11 1150.6 1461.9 1808.2
  511.00  0.77637E+11 1150.6 1462.0 1810.1
  512.00  0.77152E+11 1150.6 1462.1 1812.0
  513.00  0.76670E+11 1150.6 1462.2 1813.9
  514.00  0.76191E+11 1150.6 1462.3 1815.9
  515.00  0.75715E+11 1150.6 1462.4 1817.8
  516.00  0.75242E+11 1150.6 1462.5 1819.7
  517.00  0.74773E+11 1150.6 1462.6 1821.7
  518.00  0.74306E+11 1150.6 1462.7 1823.6
  519.00  0.73843E+11 1150.6 1462.8 1825.5
  520.00  0.73383E+11 1150.6 1462.9 1827.5
  521.00  0.72926E+11 1150.6 1463.0 1829.5
  522.00  0.72472E+11 1150.6 1463.1 1831.4
  523.00  0.72021E+11 1150.6 1463.2 1833.4
  524.00  0.71573E+11 1150.6 1463.3 1835.4
  525.00  0.71129E+11 1150.6 1463.4 1837.4
  526.00  0.70687E+11 1150.6 1463.5 1839.4
  527.00  0.70248E+11 1150.6 1463.6 1841.4
  528.00  0.69813E+11 1150.6 1463.7 1843.4
  529.00  0.69380E+11 1150.6 1463.8 1845.5
  530.00  0.68950E+11 1150.6 1463.9 1847.6
  531.00  0.68524E+11 1150.6 1464.0 1849.6
  532.00  0.68100E+11 1150.6 1464.1 1851.7
  533.00  0.67679E+11 1150.6 1464.2 1853.9
  534.00  0.67261E+11 1150.6 1464.3 1856.0
  535.00  0.66846E+11 1150.6 1464.4 1858.2
  536.00  0.66434E+11 1150.6 1464.4 1860.3
  537.00  0.66024E+11 1150.6 1464.5 1862.6
  538.00  0.65618E+11 1150.6 1464.6 1864.8
  539.00  0.65214E+11 1150.6 1464.7 1867.1
  540.00  0.64814E+11 1150.6 1464.8 1869.4
  541.00  0.64416E+11 1150.6 1464.9 1871.7
  542.00  0.64020E+11 1150.6 1465.0 1874.1
  543.00  0.63628E+11 1150.6 1465.1 1876.5
  544.00  0.63238E+11 1150.6 1465.2 1878.9
  545.00  0.62851E+11 1150.6 1465.3 1881.4
  546.00  0.62467E+11 1150.6 1465.4 1883.9
  547.00  0.62086E+11 1150.6 1465.5 1886.4
  548.00  0.61707E+11 1150.6 1465.6 1889.0
  549.00  0.61331E+11 1150.6 1465.7 1891.7
  550.00  0.60957E+11 1150.6 1465.8 1894.3
  551.00  0.60586E+11 1150.6 1465.9 1897.0
  552.00  0.60218E+11 1150.6 1466.0 1899.8
  553.00  0.59853E+11 1150.6 1466.1 1902.6
  554.00  0.59490E+11 1150.6 1466.2 1905.4
  555.00  0.59129E+11 1150.6 1466.3 1908.3
  556.00  0.58771E+11 1150.6 1466.4 1911.2
  557.00  0.58416E+11 1150.6 1466.5 1914.1
  558.00  0.58063E+11 1150.6 1466.6 1917.1
  559.00  0.57713E+11 1150.6 1466.7 1920.1
  560.00  0.57365E+11 1150.6 1466.8 1923.2
  561.00  0.57020E+11 1150.7 1466.9 1926.3
  562.00  0.56677E+11 1150.7 1467.0 1929.4
  563.00  0.56337E+11 1150.7 1467.1 1932.5
  564.00  0.55999E+11 1150.7 1467.2 1935.7
  565.00  0.55663E+11 1150.7 1467.3 1938.9
  566.00  0.55330E+11 1150.7 1467.4 1942.1
  567.00  0.55000E+11 1150.7 1467.5 1945.3
  568.00  0.54671E+11 1150.7 1467.6 1948.6
  569.00  0.54345E+11 1150.7 1467.7 1951.9
  570.00  0.54022E+11 1150.7 1467.8 1955.2
  571.00  0.53700E+11 1150.7 1467.9 1958.5
  572.00  0.53381E+11 1150.7 1468.0 1961.8
  573.00  0.53064E+11 1150.7 1468.1 1965.2
  574.00  0.52750E+11 1150.7 1468.2 1968.5
  575.00  0.52438E+11 1150.7 1468.3 1971.9
  576.00  0.52128E+11 1150.7 1468.4 1975.3
  577.00  0.51820E+11 1150.7 1468.5 1978.7
  578.00  0.51514E+11 1150.7 1468.6 1982.1
  579.00  0.51211E+11 1150.7 1468.7 1985.5
  580.00  0.50910E+11 1150.7 1468.8 1988.9
  581.00  0.50611E+11 1150.7 1468.9 1992.3
  582.00  0.50314E+11 1150.7 1469.0 1995.8
  583.00  0.50019E+11 1150.7 1469.1 1999.2
  584.00  0.49726E+11 1150.7 1469.2 2002.6
  585.00  0.49436E+11 1150.7 1469.3 2006.1
  586.00  0.49147E+11 1150.7 1469.4 2009.5
  587.00  0.48861E+11 1150.7 1469.5 2013.0
  588.00  0.48576E+11 1150.7 1469.6 2016.5
  589.00  0.48294E+11 1150.7 1469.7 2019.9
  590.00  0.48014E+11 1150.7 1469.8 2023.4
  591.00  0.47736E+11 1150.7 1469.9 2026.9
  592.00  0.47459E+11 1150.7 1470.0 2030.4
  593.00  0.47185E+11 1150.7 1470.1 2033.8
  594.00  0.46913E+11 1150.7 1470.1 2037.3
  595.00  0.46642E+11 1150.7 1470.2 2040.8
  596.00  0.46374E+11 1150.7 1470.3 2044.3
